HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6404.19.25.90","7","Other","[""prs.""]","","","","",""
"6404.19.30","5","Other","","12.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"","6","House slippers:","","","","","",""
"6404.19.30.15","7","Covering the ankle","[""prs.""]","","","","",""
"6404.19.30.20","7","Other","[""prs.""]","","","","",""
"","6","Other:","","","","","",""
"6404.19.30.40","7","For men","[""prs.""]","","","","",""
"6404.19.30.60","7","For women","[""prs.""]","","","","",""
"6404.19.30.80","7","Other","[""prs.""]","","","","",""
"","4","Other:","","","","","",""
"6404.19.36","5","With uppers of vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter","","7.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6404.19.36.30","6","For men","[""prs.""]","","","","",""
"6404.19.36.60","6","For women","[""prs.""]","","","","",""
"6404.19.36.90","6","Other","[""prs.""]","","","","",""
"6404.19.37","5","With uppers of textile material other than vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter","","12.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6404.19.37.15","6","House slippers","[""prs.""]","","","","",""
"","6","Other:","","","","","",""
"6404.19.37.30","7","For men","[""prs.""]","","","","",""
"6404.19.37.60","7","For women","[""prs.""]","","","","",""
"6404.19.37.90","7","Other","[""prs.""]","","","","",""
"6404.19.39","5","Other","","37.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA, PE,R,S,SG)","66%","",""
"6404.19.39.15","6","House slippers","[""prs.""]","","","","",""
"","6","Other:","","","","","",""
"6404.19.39.40","7","For men","[""prs.""]","","","","",""
"6404.19.39.60","7","For women","[""prs.""]","","","","",""
"6404.19.39.80","7","Other","[""prs.""]","","","","",""
"","3","Other:","","","","","",""
"","4","Valued not over $3/pair:","","","","","",""
"","5","Having soles (or mid-soles, if any) of rubber or plastics which are affixed to the upper exclusively with an adhesive (any mid-soles also being affixed exclusively to one another and to the sole with an adhesive); the foregoing except footwear having a foxing or a foxing-like band applied or molded at the sole and overlapping the upper and except footwear with soles which overlap the upper other than at the toe or heel:","","","","","",""
"6404.19.42","6","With uppers of vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S.note 5 to this chapter","","7.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6404.19.42.30","7","For men","[""prs.""]","","","","",""
"6404.19.42.60","7","For women","[""prs.""]","","","","",""
"6404.19.42.90","7","Other","[""prs.""]","","","","",""
"6404.19.47","6","With uppers of textile material other than vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter","","12.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6404.19.47.15","7","House slippers","[""prs.""]","","","","",""
"","7","Other:","","","","","",""
"6404.19.47.30","8","For men","[""prs.""]","","","","",""
"6404.19.47.60","8","For women","[""prs.""]","","","","",""
"6404.19.47.90","8","Other","[""prs.""]","","","","",""
"6404.19.49","6","Other","","37.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,R,S, SG)","66%","",""
"6404.19.49.30","7","For men","[""prs.""]","","","","",""
"6404.19.49.60","7","For women","[""prs.""]","","","","",""
"6404.19.49.90","7","Other","[""prs.""]","","","","",""
"","5","Other:","","","","","",""
"6404.19.52","6","With uppers of vegetable fibers and having outer soles with textile textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter","","7.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6404.19.52.30","7","For men","[""prs.""]","","","","",""
"6404.19.52.60","7","For women","[""prs.""]","","","","",""
"6404.19.52.90","7","Other","[""prs.""]","","","","",""
"6404.19.57","6","With uppers of textile material other than vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter","","12.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6404.19.57.15","7","House slippers","[""prs.""]","","","","",""
"","7","Other:","","","","","",""
"6404.19.57.30","8","For men","[""prs.""]","","","","",""
"6404.19.57.60","8","For women","[""prs.""]","","","","",""
"6404.19.57.90","8","Other","[""prs.""]","","","","",""
"6404.19.59","6","Other","","48%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA, PE,R,S,SG)","84%","",""
"6404.19.59.15","7","House slippers","[""prs.""]","","","","",""
"","7","Other:","","","","","",""
"6404.19.59.30","8","For men","[""prs.""]","","","","",""
"6404.19.59.60","8","For women","[""prs.""]","","","","",""
"6404.19.59.90","8","Other","[""prs.""]","","","","",""
"","4","Valued over $3 but not over $6.50/pair:","","","","","",""
"","5","Having soles (or mid-soles, if any) of rubber or plastics which are affixed to the upper exclusively with an adhesive (any mid-soles also being affixed exclusively to one another and to the sole with an adhesive); the foregoing except footwear having a foxing or a foxing-like band applied or molded at the sole and overlapping the upper and except footwear with soles which overlap the upper other than at the toe or heel:","","","","","",""
"6404.19.61","6","With uppers of textile material other than vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter","","12.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6404.19.61.15","7","House slippers","[""prs.""]","","","","",""
"","7","Other:","","","","","",""
"6404.19.61.30","8","For men","[""prs.""]","","","","",""
"6404.19.61.60","8","For women","[""prs.""]","","","","",""
"6404.19.61.90","8","Other","[""prs.""]","","","","",""
"6404.19.69","6","Other","","37.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA, PE,R,S,SG)","66%","",""
"6404.19.69.30","7","For men","[""prs.""]","","","","",""
"6404.19.69.60","7","For women","[""prs.""]","","","","",""
"6404.19.69.90","7","Other","[""prs.""]","","","","",""
"","5","Other:","","","","","",""
"6404.19.72","6","With uppers of vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter","","7.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6404.19.72.30","7","For men","[""prs.""]","","","","",""
"6404.19.72.60","7","For women","[""prs.""]","","","","",""
"6404.19.72.90","7","Other","[""prs.""]","","","","",""
"6404.19.77","6","With uppers of textile material other than vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter","","12.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6404.19.77.15","7","House slippers","[""prs.""]","","","","",""
"","7","Other:","","","","","",""
"6404.19.77.30","8","For men","[""prs.""]","","","","",""
"6404.19.77.60","8","For women","[""prs.""]","","","","",""
"6404.19.77.90","8","Other","[""prs.""]","","","","",""
"6404.19.79","6","Other","","90¢/pr. + 37.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA, PE,R,S,SG)","$1.58/pr. + 66%","",""
"6404.19.79.15","7","House slippers","[""prs.""]","","","","",""
"","7","Other:","","","","","",""
"6404.19.79.30","8","For men","[""prs.""]","","","","",""
"6404.19.79.60","8","For women","[""prs.""]","","","","",""
"6404.19.79.90","8","Other","[""prs.""]","","","","",""
"","4","Valued over $6.50 but not over $12/pair:","","","","","",""
"6404.19.82","5","Wither uppers of vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter","","7.5%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,R,S,SG)","35%","",""
"6404.19.82.30","6","For men","[""prs.""]","","","","",""
"6404.19.82.60","6","For women","[""prs.""]","","","","",""
"6404.19.82.90","6","Other","[""prs.""]","","","","",""
"6404.19.87","5","With uppers of textile material other than vegetable fibers and having outer soles with textile materials having the greatest surface area in contact with the ground, but not taken into account under the terms of additional U.S. note 5 to this chapter","","12.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6404.19.87.15","6","House slippers","[""prs.""]","","","","",""
"","6","Other:","","","","","",""
"6404.19.87.30","7","For men","[""prs.""]","","","","",""
"6404.19.87.60","7","For women","[""prs.""]","","","","",""
"6404.19.87.90","7","Other","[""prs.""]","","","","",""
"6404.19.89","5","Other","","90¢/pr. + 20%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA, PE,R,S,SG)","$1.58/pr. + 35%","",""
"6404.19.89.30","6","For men","[""prs.""]","","","","",""
"6404.19.89.60","6","For women","[""prs.""]","","","","",""
"6404.19.89.90","6","Other","[""prs.""]","","","","",""
"6404.19.90","4","Valued over $12/pair","","9%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6404.19.90.30","5","For men","[""prs.""]","","","","",""
"6404.19.90.60","5","For women","[""prs.""]","","","","",""
"6404.19.90.90","5","Other","[""prs.""]","","","","",""
"6404.20","1","Footwear with outer soles of leather or composition leather:","","","","","",""
"","2","Not over 50 percent by weight of rubber or plastics and not over 50 percent by weight of textile materials and rubber or plastics with at least 10 percent by weight being rubber or plastics:","","","","","",""
"6404.20.20","3","Valued not over $2.50/pair","","15%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6404.20.20.30","4","For men","[""prs.""]","","","","",""
"6404.20.20.60","4","For women","[""prs.""]","","","","",""
"6404.20.20.90","4","Other","[""prs.""]","","","","",""
"6404.20.40","3","Valued over $2.50/pair","","10%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6404.20.40.30","4","For men","[""prs.""]","","","","",""
"6404.20.40.60","4","For women","[""prs.""]","","","","",""
"6404.20.40.90","4","Other","[""prs.""]","","","","",""
"6404.20.60","2","Other","","37.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA, PE,R,S,SG)","66%","",""
"6404.20.60.40","3","For men","[""prs.""]","","","","",""
"6404.20.60.60","3","For women","[""prs.""]","","","","",""
"6404.20.60.80","3","Other","[""prs.""]","","","","",""
"6405","0","Other footwear:","","","","","",""
"6405.10.00","1","With uppers of leather or composition leather","","10%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","20%","",""
"6405.10.00.30","2","For men","[""prs.""]","","","","",""
"6405.10.00.60","2","For women","[""prs.""]","","","","",""
"6405.10.00.90","2","Other","[""prs.""]","","","","",""
"6405.20","1","With uppers of textile materials:","","","","","",""
"6405.20.30","2","With uppers of vegetable fibers","","7.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6405.20.30.30","3","For men","[""prs.""]","","","","",""
"6405.20.30.60","3","For women","[""prs.""]","","","","",""
"6405.20.30.70","3","For infants, as described in statistical note 2 to this chapter","[""prs.""]","","","","",""
"6405.20.30.80","3","Other","[""prs.""]","","","","",""
"6405.20.60","2","With soles and uppers of wool felt","","2.5%","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"6405.20.60.30","3","For men (459)","[""prs."",""kg""]","","","","",""
"6405.20.60.60","3","For women (459)","[""prs."",""kg""]","","","","",""
"6405.20.60.90","3","Other (459)","[""prs."",""kg""]","","","","",""
"6405.20.90","2","Other","","12.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6405.20.90.15","3","House slippers","[""prs.""]","","","","",""
"","3","Other:","","","","","",""
"6405.20.90.30","4","For men","[""prs.""]","","","","",""
"6405.20.90.60","4","For women","[""prs.""]","","","","",""
"6405.20.90.70","4","For infants, as described in statistical note 2 to this chapter","[""prs.""]","","","","",""
"6405.20.90.80","4","Other","[""prs.""]","","","","",""
"6405.90","1","Other:","","","","","",""
"6405.90.20.00","2","Disposable footwear, designed for one-time use","[""prs.""]","3.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"6405.90.90","2","Other","","12.5%","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","35%","",""
"6405.90.90.30","3","For infants, as described in statistical note 2 to this chapter","[""prs.""]","","","","",""
"6405.90.90.60","3","Other","[""prs.""]","","","","",""
"6406","0","Parts of footwear (including uppers whether or not attached to soles other than outer soles); removable insoles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof:","","","","","",""
"6406.10","1","Uppers and parts thereof, other than stiffeners:","","","","","",""
"","2","Formed uppers:","","","","","",""
"","3","Of leather or composition leather:","","","","","",""
"6406.10.05.00","4","For men, youths and boys","[""prs.""]","8.5%","Free (AU,BH, CL,CO,D,IL,JO, KR,MA,OM, P,PA,PE,R,S,SG)","20%","",""
"6406.10.10.00","4","For other persons","[""prs.""]","10%","Free (AU,BH, CL,CO,D,IL,JO, KR,MA,OM, P,PA,PE,R,S,SG)","20%","",""
"","3","Of textile materials:","","","","","",""
"6406.10.20","4","Of which over 50 percent of the external surface area (including any leather accessories or reinforcements such as those mentioned in note 4(a) to this chapter) is leather","","10.5%","Free (AU,BH, CL,CO,D,IL,JO, KR,MA,OM, P,PA,PE,R,S, SG)","20%","",""
"6406.10.20.31","5","For men","[""prs.""]","","","","",""
"6406.10.20.61","5","Other","[""prs.""]","","","","",""
"","4","Other:","","","","","",""
"6406.10.25.00","5","Valued not over $3/pair","[""prs.""]","33.6%","Free (AU,BH, CL,CO,D,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","84%","",""
"6406.10.30.00","5","Valued over $3 but not over $6.50/pair","[""prs.""]","63¢/pr. + 26.2%","Free (AU,BH, CL,CO,D,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","$1.58/pr. + 66%","",""
"6406.10.35.00","5","Valued over $6.50 but not over $12/pair","[""prs.""]","62¢/pr. + 13.7%","Free (AU,BH, CL,CO,D,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","$1.58/pr. + 35%","",""
"6406.10.40.00","5","Valued over $12/pair","[""prs.""]","7.5%","Free (AU,BH, CL,CO,D,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"","3","Other:","","","","","",""
"6406.10.45.00","4","Of which over 90 percent of the external surface area (including any accessories or reinforcements such as those mentioned in note 4(a) to this chapter) is rubber or plastics and not suitable to be finished into footwear (1) having foxing or a foxing-like band applied or molded at the sole and overlapping the upper, or (2) designed to be worn over, or in lieu of, other footwear as a protection against water, oil, grease or chemicals or cold or inclement weather","[""prs.""]","6%","Free (AU,BH, CL,CO,D,IL,JO, KR,MA,OM, P,PA,PE,R,S,SG)","35%","",""
"6406.10.50.00","4","Other","[""prs.""]","26.2%","Free (AU,BH, CL,CO,D,IL,JO, KR,MA,OM, P,PA,PE,R,S,SG)","66%","",""
"","2","Other:","","","","","",""
"6406.10.60.00","3","Of rubber or plastics","[""prs.""]","Free","","80%","",""
"6406.10.65.00","3","Of leather","[""prs.""]","Free","","15%","",""
"6406.10.70.00","3","Of textile materials of which over 50 percent of the external surface area (including any leather accessories or reinforcements such as those mentioned in note 4(a) to this chapter) is leather","[""prs.""]","Free","","35%","",""
"","3","Other:","","","","","",""
"","4","Of cotton:","","","","","",""
"6406.10.72.00","5","Uppers of which less than 50 percent of the external surface area (including any leather, rubber or plastics accessories or reinforcements such as those mentioned in note 4(a) to this chapter) is textile materials","[""prs.""]","11.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","62.9%","",""
"6406.10.77.00","5","Other (369)","[""prs."",""kg""]","11.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","62.9%","",""
"","4","Other:","","","","","",""
"6406.10.85.00","5","Uppers of which less than 50 percent of the external surface area (including any leather, rubber or plastics accessories or reinforcements such as those mentioned in note 4(a) to this chapter) is textile materials","[""prs.""]","4.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","78.5%","",""
"6406.10.90","5","Other","","4.5%","Free (AU,BH, CL,CO,E*,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","78.5%","",""
"","6","Of textile materials other than cotton:","","","","","",""
"6406.10.90.20","7","Of wool or fine animal hair (469)","[""prs."",""kg""]","","","","",""
"6406.10.90.40","7","Of man-made fibers (669)","[""prs."",""kg""]","","","","",""
"6406.10.90.60","7","Other (899)","[""prs."",""kg""]","","","","",""
"6406.10.90.90","6","Other","[""prs."",""kg""]","","","","",""
"6406.20.00.00","1","Outer soles and heels, of rubber or plastics","[""prs."",""kg""]","2.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"6406.90","1","Other:","","","","","",""
"6406.90.10.00","2","Of wood","[""kg""]","2.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33 1/3%","",""
"","2","Of other materials:","","","","","",""
"6406.90.15","3","Of textile materials","","14.9%","Free (AU,BH, CL,CO,E*,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","72%","",""
"","4","Of man-made fibers:","","","","","",""
"","5","Leg-warmers:","","","","","",""
"6406.90.15.05","6","Containing 23 percent or more by weight of wool or fine animal hair (459)","[""doz."",""kg""]","","","","",""
"6406.90.15.10","6","Other (659)","[""doz."",""kg""]","","","","",""
"6406.90.15.40","5","Other (659)","[""doz."",""kg""]","","","","",""
"","4","Other:","","","","","",""
"","5","Leg-warmers:","","","","","",""
"6406.90.15.50","6","Of cotton (359)","[""doz."",""kg""]","","","","",""
"6406.90.15.60","6","Of wool or fine animal hair (459)","[""doz."",""kg""]","","","","",""
"6406.90.15.70","6","Other (859)","[""doz."",""kg""]","","","","",""
"6406.90.15.80","5","Other","[""doz."",""kg""]","","","","",""
"6406.90.30","3","Of rubber or plastics","","5.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"6406.90.30.30","4","Bottoms","[""doz."",""kg""]","","","","",""
"6406.90.30.60","4","Other","[""doz."",""kg""]","","","","",""
"6406.90.60.00","3","Of leather","[""kg""]","Free","","15%","",""
"6406.90.90.00","3","Other","[""kg""]","Free","","45%","",""
"6501.00","0","Hat forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt:","","","","","",""
"","1","Of fur felt:","","","","","",""
"6501.00.30.00","2","For men or boys","[""doz."",""kg""]","Free","","$16/doz. + 25%","",""
"6501.00.60.00","2","Other","[""doz."",""kg""]","96¢/doz. + 1.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$16/doz. + 25%","",""
"6501.00.90.00","1","Other (459)","[""No."",""kg""]","10.3¢/kg + 10.3%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","88.2¢/kg + 55%","",""
"6502.00","0","Hat shapes, plaited or made by assembling strips of any material, neither blocked to shape, nor with made brims, not lined, nor trimmed:","","","","","",""
"","1","Of vegetable fibers, of unspun fibrous vegetable materials, of paper yarn or of any combination thereof:","","","","","",""
"6502.00.20.00","2","Sewed","[""doz."",""kg""]","34¢/doz. + 3.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$3/doz. + 50%","",""
"","2","Not sewed:","","","","","",""
"6502.00.40.00","3","Not bleached and not colored","[""doz."",""kg""]","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"6502.00.60","3","Bleached or colored","","Free","","25¢/doz. + 25%","",""
"6502.00.60.30","4","Of paper","[""doz.""]","","","","",""
"6502.00.60.60","4","Other","[""doz."",""kg""]","","","","",""
"6502.00.90","1","Other","","6.8%","Free (AU,BH, CL,CO,E*,IL, JO,KR,MA,OM,P,PA, PE,S,SG)","90%","",""
"6502.00.90.30","2","Of man-made fibers (659)","[""doz."",""kg""]","","","","",""
"6502.00.90.60","2","Other","[""doz."",""kg""]","","","","",""
"6504.00","0","Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed:","","","","","",""
"","1","Of vegetable fibers, of unspun fibrous vegetable materials, of paper yarn or of any combination thereof:","","","","","",""
"6504.00.30.00","2","Sewed","[""doz."",""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$3/doz. + 50%","",""
"6504.00.60.00","2","Not sewed","[""doz."",""kg""]","94¢/doz. + 4.6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$3.50/doz. + 50%","",""
"6504.00.90","1","Other","","6.8%","Free (AU,BH, CL,CO,E*,IL, JO,KR,MA,NP,OM,P,PA, PE,S,SG)","90%","",""
"","2","Sewed:","","","","","",""
"6504.00.90.15","3","Of man-made fibers (659)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6504.00.90.45","3","Other","[""doz."",""kg""]","","","","",""
"","2","Not sewed:","","","","","",""
"6504.00.90.60","3","Of man-made fibers (659)","[""doz."",""<u>kg<\/u>""]","","","","",""
"6504.00.90.75","3","Other","[""doz."",""kg""]","","","","",""
"6505.00","0","Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hair-nets of any material, whether or not lined or trimmed:","","","","","",""
"6505.00.01.00","1","Hair-nets","[""kg""]","9.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"","1","Other:","","","","","",""
"","2","Felt hats and other felt headgear, made from the hat bodies, hoods or plateaux of heading 6501, whether or not lined or trimmed:","","","","","",""
"6505.00.04","3","Of fur felt","","Free","","$16/doz. + 25%","",""
"6505.00.04.10","4","For men or boys","[""doz."",""kg""]","","","","",""
"6505.00.04.50","4","Other","[""doz."",""kg""]","","","","",""
"6505.00.08.00","3","Other","[""No."",""kg""]","13.5¢/kg + 6.3% + 1.9¢/article","Free (AU,BH, CL,CO,IL,JO,KR, MA,NP,OM,P, PA,PE,S,SG)","88.2¢/kg + 55% + 12.5¢/ article","",""
"","2","Other:","","","","","",""
"","3","Of cotton, flax or both:","","","","","",""
"6505.00.15","4","Knitted","","7.9%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,NP,OM,P, PA,PE,S,SG)","45%","",""
"","5","Of cotton:","","","","","",""
"6505.00.15.15","6","For babies (239)","[""doz."",""kg""]","","","","",""
"","6","Other:","","","","","",""
"6505.00.15.25","7","Visors, and other headgear which provides no covering for the crown of the head (359)","[""doz."",""kg""]","","","","",""
"6505.00.15.40","7","Other (359)","[""doz."",""kg""]","","","","",""
"6505.00.15.60","5","Other (859)","[""doz."",""kg""]","","","","",""
"","4","Not knitted:","","","","","",""
"6505.00.20","5","Certified hand-loomed and folklore products; and headwear of cotton","","7.5%","Free (AU,BH, CL,CO,E*,IL, JO,KR,MA, NP,OM,P,PA,PE,S,SG)","37.5%","",""
"6505.00.20.30","6","For babies (239)","[""doz."",""kg""]","","","","",""
"6505.00.20.60","6","Other (359)","[""doz."",""kg""]","","","","",""
"6505.00.25","5","Other","","7.5%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,NP,OM,P, PA,PE,S,SG)","37.5%","",""
"6505.00.25.45","6","Visors, and other headgear of cotton which provides no covering for the crown of the head (359)","[""doz."",""kg""]","","","","",""
"6505.00.25.90","6","Other (859)","[""doz."",""kg""]","","","","",""
"","3","Of wool:","","","","","",""
"6505.00.30","4","Knitted or crocheted or made up from knitted or crocheted fabric","","25.4¢/kg + 7.7%","Free (AU,BH, CL,CO,IL,JO,KR, MA,NP,OM,P, PA,PE,S,SG)","$1.10/kg + 50%","",""
"6505.00.30.30","5","For babies (439)","[""doz."",""kg""]","","","","",""
"","5","Other:","","","","","",""
"6505.00.30.45","6","Visors, and other headgear which provides no covering for the crown of the head (459)","[""doz."",""kg""]","","","","",""
"6505.00.30.90","6","Other (459)","[""doz."",""kg""]","","","","",""
"6505.00.40","4","Other","","31¢/kg + 7.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,NP,OM,P, PA,PE,S,SG)","$1.10/kg + 50%","",""
"6505.00.40.30","5","For babies (439)","[""doz."",""kg""]","","","","",""
"","5","Other:","","","","","",""
"6505.00.40.45","6","Visors, and other headgear which provides no covering for the crown of the head (459)","[""doz."",""kg""]","","","","",""
"6505.00.40.90","6","Other (459)","[""doz."",""kg""]","","","","",""
"","3","Of man-made fibers:","","","","","",""
"","4","Knitted or crocheted or made up from knitted or crocheted fabric:","","","","","",""
"6505.00.50","5","Wholly or in part of braid","","6.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,NP,OM,P, PA,PE,S,SG)","90%","",""
"6505.00.50.30","6","For babies (239)","[""doz."",""kg""]","","","","",""
"","6","Other:","","","","","",""
"6505.00.50.45","7","Visors, and other headgear which provides no covering for the crown of the head (659)","[""doz."",""kg""]","","","","",""
"6505.00.50.90","7","Other (659)","[""doz."",""kg""]","","","","",""
"6505.00.60","5","Not in part of braid","","20¢/kg + 7%","Free (AU,BH, CL,CO,IL,JO,KR, MA,NP,OM,P, PA,PE,S,SG)","99.2¢/kg + 65%","",""
"6505.00.60.30","6","For babies (239)","[""doz."",""kg""]","","","","",""
"","6","Other:","","","","","",""
"6505.00.60.40","7","Containing 23 percent or more by weight of wool or fine animal hair (459)","[""doz."",""kg""]","","","","",""
"","7","Other:","","","","","",""
"6505.00.60.45","8","Visors, and other headgear which provides no covering for the crown of the head (659)","[""doz."",""kg""]","","","","",""
"6505.00.60.90","8","Other (659)","[""doz."",""kg""]","","","","",""
"","4","Other:","","","","","",""
"6505.00.70","5","Wholly or in part of braid","","6.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6505.00.70.30","6","For babies (239)","[""doz."",""kg""]","","","","",""
"","6","Other:","","","","","",""
"6505.00.70.45","7","Visors, and other headgear which provides no covering for the crown of the head (659)","[""doz."",""kg""]","","","","",""
"6505.00.70.90","7","Other (659)","[""doz."",""kg""]","","","","",""
"6505.00.80","5","Not in part of braid","","18.7¢/kg + 6.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,NP,OM,P, PA,PE,S,SG)","99.2¢/kg + 65%","",""
"6505.00.80.15","6","Nonwoven disposable headgear without peaks or visors","[""doz."",""kg""]","","","","",""
"","6","Other:","","","","","",""
"6505.00.80.45","7","For babies (239)","[""doz."",""kg""]","","","","",""
"","7","Other:","","","","","",""
"6505.00.80.50","8","Visors, and other headgear which provides no covering for the crown of the head (659)","[""doz."",""kg""]","","","","",""
"6505.00.80.90","8","Other (659)","[""doz."",""kg""]","","","","",""
